date,match_id,event_id,team_1,team_2,best_of,_map,t1_start,t2_start,1_t1,2_t1,3_t1,4_t1,5_t1,6_t1,7_t1,8_t1,9_t1,10_t1,11_t1,12_t1,13_t1,14_t1,15_t1,16_t1,17_t1,18_t1,19_t1,20_t1,21_t1,22_t1,23_t1,24_t1,25_t1,26_t1,27_t1,28_t1,29_t1,30_t1,1_t2,2_t2,3_t2,4_t2,5_t2,6_t2,7_t2,8_t2,9_t2,10_t2,11_t2,12_t2,13_t2,14_t2,15_t2,16_t2,17_t2,18_t2,19_t2,20_t2,21_t2,22_t2,23_t2,24_t2,25_t2,26_t2,27_t2,28_t2,29_t2,30_t2,1_winner,2_winner,3_winner,4_winner,5_winner,6_winner,7_winner,8_winner,9_winner,10_winner,11_winner,12_winner,13_winner,14_winner,15_winner,16_winner,17_winner,18_winner,19_winner,20_winner,21_winner,22_winner,23_winner,24_winner,25_winner,26_winner,27_winner,28_winner,29_winner,30_winner
2020-02-07,2339099,5138,Astralis,Complexity,3,Dust2,ct,t,4100.0,18900.0,24050.0,27100.0,26500.0,31400.0,24600.0,9950.0,2000.0,26200.0,24850.0,23000.0,24700.0,6450.0,28550.0,4100.0,9800.0,1900.0,23750.0,26250.0,26050.0,7900.0,27550.0,26700.0,26200.0,27250.0,24250.0,,,,4050.0,17800.0,3200.0,25000.0,8250.0,25850.0,24900.0,24500.0,25400.0,26150.0,27350.0,26250.0,26750.0,27150.0,28850.0,4200.0,18850.0,23050.0,22950.0,23800.0,28550.0,32500.0,31000.0,25450.0,1000.0,6950.0,28900.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,
2020-02-07,2339099,5138,Astralis,Complexity,3,Vertigo,ct,t,4400.0,20550.0,26400.0,20350.0,19050.0,11350.0,4650.0,26500.0,29050.0,29600.0,29900.0,30100.0,30850.0,29350.0,33100.0,4600.0,18150.0,8000.0,3300.0,24050.0,16100.0,7700.0,25800.0,11800.0,27950.0,25500.0,24900.0,22700.0,,,4600.0,9300.0,2500.0,24500.0,21400.0,20550.0,23600.0,25400.0,23100.0,1700.0,23200.0,6850.0,25550.0,26050.0,22550.0,4200.0,11000.0,25450.0,30350.0,32050.0,33500.0,33900.0,32600.0,31700.0,30250.0,31650.0,31400.0,28600.0,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,,
2020-02-07,2339307,5115,1WIN,EveryBodyDance,3,Dust2,ct,t,4100.0,19450.0,24950.0,23200.0,29350.0,24050.0,30250.0,28350.0,32550.0,19800.0,3200.0,22450.0,25600.0,28600.0,30950.0,4150.0,19950.0,22700.0,25300.0,24300.0,23250.0,,,,,,,,,,4100.0,3000.0,20950.0,5600.0,26050.0,5750.0,26150.0,26850.0,22500.0,26850.0,26250.0,27050.0,25850.0,19600.0,14800.0,4150.0,200.0,22400.0,14100.0,15300.0,25450.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,
2020-02-07,2339307,5115,1WIN,EveryBodyDance,3,Train,t,ct,4250.0,15850.0,10750.0,14800.0,1800.0,24800.0,10550.0,25250.0,16800.0,20600.0,7050.0,25950.0,23150.0,22400.0,26650.0,4300.0,10600.0,22950.0,25950.0,31650.0,31550.0,32050.0,26650.0,19200.0,9650.0,,,,,,4200.0,10550.0,23000.0,26800.0,27600.0,27550.0,31400.0,34100.0,33600.0,34300.0,33300.0,34100.0,34500.0,35100.0,32500.0,4350.0,19950.0,8750.0,1800.0,22000.0,5350.0,26750.0,23350.0,17250.0,27250.0,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,
2020-02-07,2339307,5115,1WIN,EveryBodyDance,3,Overpass,t,ct,4150.0,13650.0,24900.0,25500.0,25900.0,26450.0,25850.0,27050.0,20200.0,4400.0,25400.0,25200.0,24000.0,28450.0,26850.0,4450.0,19500.0,23900.0,20800.0,29250.0,28050.0,29050.0,12950.0,1500.0,23150.0,29000.0,4700.0,26600.0,,,4300.0,20900.0,10050.0,1000.0,23300.0,27100.0,29750.0,21800.0,26150.0,30950.0,30100.0,11650.0,2550.0,21350.0,12900.0,4550.0,2300.0,24850.0,28150.0,21200.0,4700.0,23750.0,18350.0,26850.0,28150.0,27300.0,24150.0,27350.0,,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,,
2020-02-07,2339261,5150,AGO,Unicorns of Love,1,Vertigo,ct,t,4300.0,12750.0,1500.0,12200.0,8950.0,26450.0,26700.0,29250.0,30550.0,31850.0,29750.0,24150.0,26100.0,2650.0,23450.0,4550.0,20000.0,23700.0,24400.0,6300.0,6550.0,28950.0,22850.0,25500.0,28650.0,28350.0,28050.0,28600.0,27850.0,29350.0,4200.0,20300.0,18700.0,23400.0,24900.0,26650.0,23800.0,7250.0,3600.0,26050.0,27050.0,19250.0,26850.0,27550.0,27050.0,4350.0,11700.0,11450.0,28100.0,30550.0,27950.0,27800.0,30900.0,3300.0,4250.0,23850.0,6350.0,29600.0,31650.0,31700.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
2020-02-07,2339306,5115,100pinggods,Unique,3,Inferno,t,ct,4100.0,19250.0,7950.0,1400.0,21600.0,25600.0,23800.0,5450.0,25500.0,25500.0,25900.0,25900.0,27950.0,27950.0,27950.0,4350.0,18600.0,20450.0,22800.0,22350.0,22450.0,6100.0,27200.0,7950.0,26500.0,23300.0,29450.0,29450.0,27350.0,31750.0,4250.0,11700.0,26250.0,27250.0,27350.0,29150.0,30350.0,30750.0,22500.0,8500.0,22100.0,12900.0,25250.0,29000.0,27950.0,4450.0,4150.0,19500.0,22500.0,24700.0,25100.0,26000.0,27750.0,27750.0,28250.0,27950.0,25950.0,17200.0,8250.0,20800.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
2020-02-07,2339306,5115,100pinggods,Unique,3,Train,ct,t,4300.0,2000.0,22400.0,5650.0,29200.0,25850.0,28350.0,30850.0,30800.0,29900.0,29100.0,29000.0,31050.0,30450.0,23650.0,4200.0,19950.0,8950.0,1000.0,22900.0,11850.0,22050.0,28150.0,24500.0,21900.0,28250.0,28550.0,28450.0,28450.0,,4300.0,19550.0,22550.0,25300.0,26650.0,26050.0,19800.0,8950.0,20850.0,13000.0,26450.0,19550.0,24550.0,14950.0,25700.0,4300.0,11250.0,21800.0,24800.0,27200.0,32050.0,30350.0,30950.0,29550.0,21200.0,1600.0,24600.0,9400.0,25300.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,
2020-02-07,2339306,5115,100pinggods,Unique,3,Mirage,ct,t,4300.0,17600.0,9800.0,1000.0,22450.0,25000.0,26950.0,28700.0,29750.0,22650.0,2000.0,21950.0,23450.0,7700.0,20400.0,3750.0,18750.0,24500.0,8400.0,22800.0,10000.0,1700.0,20850.0,23700.0,4000.0,21200.0,15250.0,,,,4300.0,8900.0,22700.0,23600.0,25750.0,24200.0,12750.0,5400.0,22900.0,26050.0,26950.0,26750.0,26450.0,26850.0,25950.0,4300.0,11150.0,4450.0,28750.0,15400.0,21800.0,26600.0,16150.0,22600.0,26100.0,31100.0,29550.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,
2020-02-07,2339098,5138,Natus Vincere,Vitality,3,Inferno,ct,t,4150.0,21300.0,25000.0,11450.0,3200.0,23350.0,8750.0,27550.0,24900.0,16650.0,27550.0,28600.0,27600.0,30650.0,33800.0,4200.0,14900.0,22700.0,11200.0,1500.0,22200.0,22650.0,1700.0,22600.0,26200.0,24900.0,13700.0,20450.0,,,4450.0,15900.0,6650.0,27000.0,24650.0,24750.0,25800.0,27400.0,26200.0,22000.0,28350.0,25600.0,26100.0,8400.0,23550.0,4100.0,21300.0,7850.0,23650.0,29250.0,29750.0,25500.0,31100.0,32300.0,32000.0,4850.0,29600.0,12650.0,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,
